Species,life_form,abundance
Abuta selloana,Liana,91
Alchornea glandulosa,Tree,9
Alchornea triplinervia,Tree,8
Alibertia myrciifolia,Tree,20
Allophylus petiolulatus,Shrub,105
Amaioua intermedia,Tree,19
Andira anthelmia,Tree,19
Anthurium loefgrenii,Herb,39
Anthurium pentaphyllum,Herb,41
Anthurium scandens,Herb,47
Aphelandra ornata,Herb,33
Ardisia guianensis,Shrub,137
Astrocaryum aculeatissimum,Palm,73
Attalea dubia,Palm,74
Bactris setosa,Palm,19
Bathysa australis,Tree,57
Blechnum sampaioanum,Herb,25
Cabralea canjerana,Tree,34
Calophyllum brasiliense,Tree,3
Calyptranthes lanceolata,Tree,19
Calyptranthes lucida,Tree,141
Campomanesia guaviroba,Tree,57
Campyloneurum acrocarpon,Herb,142
Campyloneurum nitidum,Herb,82
Casearia decandra,Tree,73
Casearia obliqua,Tree,37
Casearia sylvestris,Tree,5
Chionanthus filiformis,Tree,88
Chrysophyllum flexuosum,Tree,202
Cinnamodendron dinisii,Tree,38
Coccocypselum lanceolatum,Herb,714
Connarus rostratus,Tree,266
Copaifera trapezifolia,Tree,61
Cordia sellowiana,Tree,117
Cryptocarya mandioccana,Tree,130
Ctenanthe lanceolata,Herb,2166
Cupania oblongifolia,Tree,438
Cupania vernalis,Tree,35
Dahlstedtia pinnata,Tree,19
Dalbergia frutescens,Tree,205
Daphnopsis schwackeana,Shrub,30
Dichorisandra paranaensis,Herb,17
Dichorisandra pubescens,Herb,19
Dichorisandra thyrsiflora,Herb,24
Elaphoglossum glaziovii,Herb,3
Elaphoglossum�luridum,Herb,19
Endlicheria paniculata,Tree,11
Erythroxylum ambiguum,Tree,13
Eugenia capitulifera,Tree,38
Eugenia cerasiflora,Tree,26
Eugenia cuprea,Tree,1344
Eugenia handroana,Tree,3
Eugenia mosenii,Tree,133
Eugenia multicostata,Tree,30
Eugenia neoaustralis,Tree,147
Eugenia neoglomerata,Tree,6
Eugenia oblongata,Tree,11
Eugenia pruinosa,Tree,31
Eugenia riedeliana,Tree,19
Eugenia stigmatosa,Tree,38
Eugenia subavenia,Tree,38
Eugenia sulcata,Tree,1
Eugenia supraaxillaris,Tree,19
Euterpe edulis,Palm,9209
Garcinia gardneriana,Tree,541
Geonoma elegans,Palm,213
Geonoma gamiova,Palm,509
Geonoma pauciflora,Palm,118
Geonoma schottiana,Palm,86
Goeppertia monophylla,Herb,1212
Goniopteris paranaensis,Herb,37
Guapira opposita,Tree,1427
Guarea macrophylla,Tree,169
Guatteria australis,Tree,283
Heisteria silvianii,Tree,76
Heliconia velloziana,Herb,45
Heteropterys nitida,Liana,72
Hirtella hebeclada,Tree,91
Ilex dumosa,Tree,57
Inga edulis,Tree,19
Inga marginata,Tree,575
Inga sellowiana,Tree,52
Inga sessilis,Tree,406
Lacistema pubescens,Shrub,22
Lastreopsis amplissima,Herb,53
Leandra dasytricha,Shrub,45
Licania hoehnei,Tree,109
Lomariopsis marginata�,Herb,55
Lygodium volubile,Herb,7
Magnolia ovata,Tree,19
Malouetia cestroides,Tree,27
Marlierea obscura,Tree,189
Marlierea strigipes,Tree,270
Matayba guianensis,Tree,39
Matayba obovata,Tree,19
